bias1,bias2,bias3,fitness,fitness_at_90,recep1,recep2,recep3,robustness,seed,timConst1,timConst2,timConst3,w_1->1,w_1->2,w_1->3,w_2->1,w_2->2,w_2->3,w_3->1,w_3->2,w_3->3,w_AS->1,w_AS->2,w_AS->3,
2.03128,3.21923,2.23419,0.452185,0.442112,1,1,1,0.765,1,6.64984,3.33205,3.7913,13.4668,0.41648,-15.5167,-12.6768,2.9907,2.6996,-1.63896,-8.80404,5.47779,0,0,0,
1.1858,1.15487,-1.70677,0.56322,0.545536,1,1,1,1.0,2,8.31234,9.33719,5.02858,-0.156068,-15.7533,3.981,10.6921,16,-16,-11.1625,8.01997,11.8393,0,0,0,
0.848302,1.36122,0.441583,0.557218,0.534052,1,1,1,1.0,3,6.67037,6.78406,8.41896,1.62854,-15.0295,5.1947,11.4139,16,-16,-12.1618,4.23947,5.40321,0,0,0,
5.86189,1.97777,7.44795,0.533728,0.534026,1,1,1,1.0,4,8.73981,8.66721,4.56163,-8.22962,-15.9749,-7.35377,6.92989,15.9083,-16,-16,0.810929,-5.65731,0,0,0,
4.92586,1.5763,1.21026,0.572834,0.558275,1,1,1,1.0,5,3.24235,9.07515,3.10494,-5.57464,-16,-3.55583,6.44015,15.9984,-16,-14.1338,5.39665,12.9704,0,0,0,
1.37468,1.74201,0.0205104,0.569195,0.552045,1,1,1,1.0,6,4.52789,9.51271,3.2814,2.98032,-15.7849,0.619618,15.6174,16,-15.8462,-15.1398,4.27425,11.268,0,0,0,
2.36828,1.0932,-2.01579,0.53762,0.528935,1,1,1,1.0,7,9.21119,1.28115,5.5206,0.7617,-6.51572,10.1294,6.11808,11.7811,-9.10447,-14.8314,-11.9441,-1.52582,0,0,0,
0.572804,2.13342,2.89281,0.524631,0.515722,1,1,1,1.0,8,6.20283,3.49018,1.03774,3.45093,-10.9368,-0.290462,13.5461,11.8547,-11.6511,-14.9234,-6.32585,-3.74716,0,0,0,
6.80334,1.65079,-3.19293,0.56457,0.547457,1,1,1,1.0,9,4.74557,9.41731,9.42768,-5.14423,-15.8268,10.0996,4.1982,16,-15.6841,-16,4.22825,11.1762,0,0,0,
-2.30695,1.40602,4.33782,0.546186,0.531983,1,1,1,1.0,10,5.77958,8.02376,0.5,-0.0873997,-15.5189,-14.4885,15.7642,16,-5.31982,-9.1683,4.55074,6.93941,0,0,0,
3.71158,1.8865,3.17801,0.541796,0.533775,1,1,1,1.0,11,9.80804,2.42976,1.36602,-1.95715,-10.2632,-1.70876,3.21103,11.2699,-8.17579,-11.6094,-3.82194,-2.29311,0,0,0,
0.636459,2.79531,1.04669,0.544477,0.537436,1,1,1,1.0,12,9.99991,2.60723,6.7514,4.04316,-15.281,7.26204,14.0185,16,-13.8792,-13.7279,-7.43487,-4.49416,0,0,0,
6.04217,-3.96708,14.4175,0.476016,0.364946,1,1,1,0.608,13,7.58068,8.65672,7.41757,2.90872,-11.6378,-1.35889,7.40844,15.9895,-10.469,-15.9465,8.94072,-15.705,0,0,0,
0.737764,1.66094,-1.8728,0.568698,0.554,1,1,1,1.0,14,5.75872,8.637,3.8213,0.607552,-15.7291,3.00522,16,15.9868,-16,-13.6727,5.29443,13.7131,0,0,0,
2.1664,1.35052,5.43301,0.581508,0.562266,1,1,1,1.0,15,7.24064,9.07381,0.730182,-6.87258,-15.2893,-13.6325,15.8307,16,-13.3396,-14.2215,4.64387,9.51518,0,0,0,
4.45429,1.16445,3.45788,0.551958,0.541528,1,1,1,1.0,16,6.70532,9.50458,5.2238,-6.52627,-15.7995,-4.08873,9.83542,16,-15.78,-15.9979,7.00909,7.78332,0,0,0,
2.24359,3.66227,-4.68967,0.504021,0.46568,1,1,1,1.0,17,5.3549,5.8743,1.9791,13.1424,13.3957,-15.7904,-12.2841,-1.58013,13.8942,-2.94722,-14.0716,13.5858,0,0,0,
5.91193,1.98112,-4.79691,0.572934,0.570736,1,1,1,1.0,18,8.41233,7.6133,3.63713,-9.64669,-15.8226,9.17575,8.45724,16,-15.1438,-12.818,1.67398,15.9536,0,0,0,
-1.0095,1.66479,-1.25117,0.570781,0.554571,1,1,1,1.0,19,3.09468,8.91211,3.15812,7.51478,-15.6206,1.59065,15.1096,16,-16,-13.2897,4.65888,13.2816,0,0,0,
0.895133,1.81699,-2.65236,0.554287,0.545401,1,1,1,1.0,20,5.56311,8.95439,5.39809,3.84991,-16,7.40011,13.7421,16,-16,-14.0845,3.7748,13.348,0,0,0,
4.48382,1.26392,1.24983,0.570838,0.551921,1,1,1,1.0,21,3.36081,9.94359,3.62942,-4.52517,-15.8709,-2.15421,5.67715,15.9952,-15.99,-15.352,6.68298,11.717,0,0,0,
2.19507,-3.1915,2.1346,0.45337,0.432547,1,1,1,0.647,22,8.30696,5.21484,5.09347,16,15.8749,-15.965,-15.074,11.1908,7.94321,-3.40646,-14.443,-3.88848,0,0,0,
-0.197441,0.668361,-2.6499,0.512294,0.498198,1,1,1,1.0,23,9.20557,0.500073,5.05333,1.94704,1.88603,10.9638,15.9342,2.89211,-10.3029,-13.0068,-15.9994,-0.249406,0,0,0,
3.22715,1.33806,2.6306,0.580128,0.556358,1,1,1,1.0,24,3.6056,9.67686,1.75276,-4.78431,-15.4387,-6.21511,9.28109,16,-15.5978,-13.3546,4.38793,13.4703,0,0,0,
5.26802,1.7611,8.16915,0.555549,0.544644,1,1,1,1.0,25,3.20393,7.79812,5.76645,-6.41893,-15.9105,-11.0732,6.48258,15.9927,-16,-15.6054,2.52177,1.72504,0,0,0,
2.51578,2.1272,8.39618,0.555255,0.555687,1,1,1,1.0,26,6.94629,3.82556,0.671716,-4.93801,-14.9407,-15.1329,12.4054,15.9998,-15.5891,-8.31477,-1.74066,0.355435,0,0,0,
-0.825893,1.36761,10.7286,0.538689,0.524875,1,1,1,1.0,27,5.42484,8.25353,5.28179,-0.784065,-15.2719,-15.9375,16,15.9661,-15.8217,-12.276,3.05127,-2.23979,0,0,0,
-0.519175,-4.31879,1.99629,0.427177,0.398232,1,1,1,0.0,28,5.2862,3.12711,7.91598,-0.689162,-11.4329,-5.43739,7.27953,16,2.16144,-0.545537,14.2052,-0.4551,0,0,0,
7.21268,2.16053,8.09866,0.577053,0.56685,1,1,1,1.0,29,6.58897,6.38051,0.522608,-13.3739,-15.2132,-15.813,13.9519,15.9968,-4.76423,-15.9346,-0.913898,-2.84226,0,0,0,
5.40382,1.87388,2.60289,0.571789,0.553576,1,1,1,1.0,30,3.90317,10,4.39226,-6.33836,-16,-2.2241,6.44955,16,-16,-14.1293,3.2207,6.70626,0,0,0,
-15.0368,-7.71108,15.9494,0.482104,0.360258,1,1,1,0.569,31,6.67433,7.4121,3.48379,10.4245,-9.60789,-15.9318,14.4511,15.9903,4.16869,8.35985,13.5392,-15.0708,0,0,0,
5.10284,1.99393,10.7887,0.555689,0.559474,1,1,1,1.0,32,8.11025,4.85933,2.28079,-7.6345,-14.7489,-12.4745,9.04703,15.6687,-15.9936,-14.1756,-1.70446,-8.14241,0,0,0,
5.93534,1.74616,3.10155,0.560174,0.551694,1,1,1,1.0,33,7.7409,7.53082,5.69692,-8.00556,-15.5241,-1.37254,8.03558,15.9612,-15.9967,-14.9318,2.47175,3.32554,0,0,0,
-0.75027,1.76696,7.8625,0.501114,0.501739,1,1,1,1.0,34,8.86301,6.97372,2.00336,-1.94841,-15.1168,-14.4667,15.0725,16,-4.38547,-9.01173,-1.87786,-10.7858,0,0,0,
4.84764,2.36152,6.20114,0.579607,0.566053,1,1,1,1.0,35,3.39897,4.51759,0.573748,-6.00585,-15.3344,-11.9973,5.8189,16,-8.40195,-9.9077,-2.42325,1.87905,0,0,0,
-0.585998,2.71248,1.82795,0.513865,0.528313,1,1,1,1.0,36,7.49166,3.53363,3.50791,-0.662372,-12.3911,8.02857,13.9537,13.0261,-15.9471,-9.39607,-9.57657,-6.47644,0,0,0,
