bias1,bias2,bias3,fitness,fitness_at_90,recep1,recep2,recep3,robustness,seed,timConst1,timConst2,timConst3,w_1->1,w_1->2,w_1->3,w_2->1,w_2->2,w_2->3,w_3->1,w_3->2,w_3->3,w_AS->1,w_AS->2,w_AS->3,
-1.3217,4.80512,4.72483,0.619656,0.617333,1,1,1,1.0,1,9.22405,0.697983,7.50073,7.64517,-3.7471,-5.07718,7.73404,10.9184,-15.6207,0.311048,-12.8858,-7.83251,16,14.5864,-16,
2.37992,-0.810072,-0.723648,0.621586,0.617795,1,1,1,1.0,2,9.02367,2.86645,7.57282,-8.38146,2.74273,4.71353,14.1453,12.2967,-10.6774,-3.18331,0.015097,-3.96166,7.03583,16,-15.8534,
-0.855803,-0.0334362,0.00682203,0.626868,0.626505,1,1,1,1.0,3,1.7394,1.58612,2.59136,5.86424,10.475,-8.23296,12.8035,1.99478,-14.9814,-6.37397,-1.90657,5.01016,2.25085,15.998,-14.9948,
-0.514322,2.78021,3.19572,0.624501,0.626395,1,1,1,1.0,4,9.71678,1.7435,0.754339,-1.26048,13.6949,-14.9179,13.9936,-3.92213,-10.4989,2.05303,-15.0878,3.22349,15.2013,15.6072,-14.2324,
-1.3207,3.0971,0.975766,0.623933,0.623025,1,1,1,1.0,5,5.47122,0.56639,4.57847,2.95208,15.4993,-0.111322,15.6915,-6.953,-11.0539,-0.437197,-13.6234,-4.11105,14.0101,8.05412,-15.9854,
-0.953906,4.65005,2.62924,0.623504,0.625493,1,1,1,1.0,6,0.729444,0.641768,3.84914,14.871,12.1127,-3.92868,7.70047,-3.86975,-14.6115,-10.1668,-14.0643,-3.72364,3.41611,15.5832,-15.3176,
-0.174444,-0.219748,-3.82303,0.62375,0.623599,1,1,1,1.0,7,2.26283,2.65798,1.81975,-4.94733,2.76573,4.09616,10.2456,13.9222,-13.0363,-1.18332,-2.41563,8.57547,-0.211186,15.918,-15.0413,
0.806892,0.518233,1.96606,0.625861,0.626138,1,1,1,1.0,8,0.501116,1.35285,2.81539,-0.923605,10.1983,-9.69038,11.6862,3.27081,-14.4125,-14.9471,-3.15199,0.926963,-8.79642,15.7821,-15.9679,
-1.69844,2.05068,3.32985,0.624007,0.623096,1,1,1,1.0,9,8.79895,2.39688,3.52501,3.63184,7.14168,-7.03685,12.0751,2.23508,-15.6085,1.56846,-6.59251,-1.80273,14.5684,16,-13.0246,
-1.05232,4.34951,0.49467,0.623814,0.622666,1,1,1,1.0,10,3.98033,0.5,1.51278,-0.398151,15.6553,-13.6661,16,-11.8458,-1.23464,-3.08102,-16,0.225703,6.85073,8.43445,-16,
-0.299198,-0.538171,3.26477,0.620852,0.623264,1,1,1,1.0,11,9.45353,4.57804,2.19493,-5.2805,-3.25584,-12.2922,10.5541,15.7923,-3.34253,1.01904,2.61482,1.66459,5.3724,15.8979,-11.5826,
-2.05026,1.5953,0.019999,0.626905,0.624633,1,1,1,1.0,12,4.81387,1.49845,3.86478,3.03915,11.8061,-5.71174,14.2873,9.94518,-2.74958,1.23767,-10.5082,-0.985697,13.2607,15.4375,-16,
-2.09299,5.1705,2.61165,0.626192,0.62595,1,1,1,1.0,13,0.584552,0.570731,1.83183,0.929501,8.85259,-11.4939,10.6258,-5.19639,-9.44154,-5.29644,-13.9956,-1.10517,-5.45471,13.7039,-13.2798,
-1.79233,2.47703,1.85977,0.623023,0.623805,1,1,1,1.0,14,1.60117,1.77163,3.53434,14.9511,11.8745,-4.13221,11.9878,-1.53151,-13.014,-6.44076,-7.30265,-2.63234,12.0334,14.8003,-16,
0.293137,-0.963473,-1.63916,0.621971,0.624954,1,1,1,1.0,15,9.63722,1.01598,1.8253,-8.80378,15.9697,-1.11166,15.0893,2.87647,-11.2515,1.68027,-8.41836,5.90276,9.82395,10.1119,-15.768,
0.995142,4.94837,2.81365,0.624403,0.626477,1,1,1,1.0,16,1.01544,0.98155,1.12769,4.58946,15.5087,-6.81769,15.2913,-11.5703,-12.1049,-13.2913,-14.8757,-1.08478,0.230126,12.9773,-11.5489,
-1.31079,1.86268,-1.10039,0.623,0.623756,1,1,1,1.0,17,8.71745,0.620394,1.90282,0.927924,15.1915,2.69208,12.9626,-6.35572,-12.9307,2.04284,-14.557,1.98007,15.8224,3.21377,-13.6688,
-1.91371,1.68951,1.67764,0.62364,0.624758,1,1,1,1.0,18,3.89368,0.632952,1.58888,7.32813,9.46641,0.946028,13.5709,4.29617,-15.9794,-2.65597,-6.47836,6.12347,12.9613,15.924,-3.52073,
-0.29741,-0.109463,1.08933,0.624842,0.622473,1,1,1,1.0,19,9.25307,5.20141,4.2814,-8.53561,4.85614,0.711341,9.25059,6.86966,-15.9665,2.01032,0.645109,-0.326787,0.653608,15.6725,-16,
-1.26287,0.426984,0.978205,0.626201,0.624427,1,1,1,1.0,20,5.32163,1.51975,3.58737,8.12971,11.1652,-5.29417,15.9859,0.141167,-15.9894,-2.99278,-2.08687,2.73069,15.982,16,-13.4052,
-1.92265,-0.122053,3.553,0.62713,0.626189,1,1,1,1.0,21,3.36167,3.91211,2.67078,-9.81482,-2.39007,-7.28827,12.3943,15.9477,-12.3828,3.83847,0.904012,1.33284,-1.69434,16,-14.5393,
3.9786,-1.97981,-0.011564,0.625235,0.625468,1,1,1,1.0,22,2.3722,3.3509,0.5,-1.04319,10.7733,-11.626,16,1.50991,-14.1254,-14.1676,3.46227,12.6707,5.23967,15.9484,-7.83959,
7.88509,-0.699263,7.27268,0.615078,0.613446,1,1,1,1.0,23,7.74482,4.33125,0.500186,-8.40196,-3.33588,-7.192,7.12752,12.5203,-15.9745,-14.9319,2.60923,-1.15711,4.24111,10.4522,-1.81308,
-0.527405,1.47298,3.99635,0.62298,0.625947,1,1,1,1.0,24,5.93793,1.36177,1.62791,1.21379,9.49712,-13.7508,16,3.46682,-15.2816,-0.373108,-10.8096,-2.61256,14.0061,15.9029,-15.3363,
-1.52764,3.15133,0.992294,0.624587,0.625997,1,1,1,1.0,25,7.5641,1.39023,0.669821,-0.917063,10.411,-16,14.9529,14.3144,4.49811,2.20987,-14.8592,4.85208,15.0823,12.821,-14.7569,
-0.611832,1.50301,0.88293,0.624226,0.624298,1,1,1,1.0,26,4.54811,1.51972,2.65286,5.42566,6.76535,-2.52896,13.4455,12.633,-8.2669,-3.46701,-7.74216,-2.17389,14.4176,14.9484,-16,
-2.29392,-0.474565,-1.83771,0.626874,0.625657,1,1,1,1.0,27,1.92342,0.605368,0.99737,7.42718,10.035,-15.8542,15.8045,3.22054,2.02216,-1.88504,-6.84376,8.34159,13.3603,6.62075,-15.7646,
-2.39369,2.68334,0.123113,0.625522,0.623785,1,1,1,1.0,28,3.08112,1.90474,3.7963,2.70501,15.0066,-5.26914,14.2194,-1.26691,-5.51231,0.733787,-10.9365,-1.27634,7.19998,15.1706,-16,
-0.799741,2.57292,2.56864,0.623377,0.623322,1,1,1,1.0,29,1.69303,1.07056,4.04094,9.39743,2.03158,-9.35491,15.9549,8.9087,-9.71049,-8.40454,-9.67486,-3.82079,5.39517,14.3509,-15.8814,
-1.06541,1.27779,1.55444,0.627056,0.625697,1,1,1,1.0,30,0.595054,0.980127,1.31746,12.5892,11.2234,-12.3974,2.36726,-2.09185,-15.0295,-7.15475,-3.3053,7.23008,3.5226,15.1621,-14.3909,
2.80508,-0.180594,4.16224,0.618844,0.621147,1,1,1,1.0,31,9.3438,1.71153,2.27419,-7.95416,13.225,-8.19666,15.9213,1.32579,-15.9667,-4.48761,-4.8665,-4.22954,12.3116,16,-15.4428,
0.219668,2.85024,3.14561,0.617701,0.623747,1,1,1,1.0,32,6.28199,2.27615,1.90105,-10.8513,14.3715,-10.7049,15.6721,-1.9584,-11.8474,2.81837,-15.1748,-0.77295,4.17151,15.9983,-15.7061,
1.2976,-0.693463,0.865244,0.626627,0.625783,1,1,1,1.0,33,3.01018,0.623978,3.09962,4.77455,12.7099,-5.22981,14.984,0.740884,-16,-11.6183,-1.61722,2.37612,4.503,15.9954,-12.9559,
2.46987,-1.0379,-4.71404,0.619191,0.622056,1,1,1,1.0,34,6.68374,7.19874,2.04256,-2.75987,-2.65952,-4.91782,15.6619,12.5935,-14.7958,-7.7665,6.56317,15.022,12.233,16,-15.3477,
0.249922,-1.00583,-3.63716,0.621326,0.619486,1,1,1,1.0,35,0.851137,5.94191,1.94433,-7.40712,6.15176,9.51417,10.2056,5.42033,-15.9643,-3.37612,2.58477,9.414,-5.7059,16,-6.92625,
4.81647,-4.20508,-6.07253,0.610773,0.614604,1,1,1,1.0,36,1.61126,2.95798,4.63153,-2.02203,3.07534,2.36292,8.02601,13.5756,-15.9766,-14.3992,7.22883,12.838,-1.55536,15.9767,-15.6548,
0.224642,1.54463,2.26851,0.620811,0.621857,1,1,1,1.0,37,4.48881,2.05775,2.22526,0.122998,0.628758,-5.81556,15.3241,11.1202,-11.35,-4.00634,-5.71685,-2.14035,7.79014,14.5379,-12.0924,
0.562792,-1.81435,-2.27096,0.623761,0.6255,1,1,1,1.0,38,9.97663,0.714621,0.914957,-10.2878,15.866,-15.8214,15.5439,3.35262,-2.0549,2.23827,-7.75487,15.2516,11.0149,8.18958,-15.8285,
1.2175,-1.71595,-3.5244,0.622092,0.623011,1,1,1,1.0,39,1.20522,5.1286,2.70413,12.2377,3.89287,-1.4849,9.23684,7.05062,-15.9754,-13.4042,5.75723,11.8891,7.36436,15.587,-10.3318,
-1.02677,1.37262,-0.0898515,0.620126,0.623821,1,1,1,1.0,40,8.00181,2.2559,1.49353,-2.09934,12.6626,-7.15621,15.8539,-2.30285,-8.84136,1.74426,-8.77572,4.35166,10.6066,16,-13.2707,
0.739754,3.61077,1.88357,0.624917,0.625643,1,1,1,1.0,41,1.92339,0.581756,3.11445,15.9985,10.0371,-6.19712,6.44321,4.34137,-6.42063,-9.88594,-15.5259,-3.46171,13.2517,6.39158,-15.9895,
1.42778,1.92664,2.12408,0.624786,0.624449,1,1,1,1.0,42,2.82006,0.5,3.70853,10.4619,5.83678,-5.57018,9.36569,8.32486,-15.3272,-10.119,-12.8532,-4.2927,12.37,16,-16,
1.32999,-1.20837,-1.38505,0.621832,0.622536,1,1,1,1.0,43,1.63006,2.89301,1.49343,-7.79444,-5.07437,-8.84475,15.9931,15.5375,-15.9806,-13.1718,2.4946,6.81604,-12.5234,15.0582,-10.0004,
-0.639034,0.717524,-0.750311,0.619306,0.623706,1,1,1,1.0,44,8.49044,2.0868,0.548661,0.657182,13.2071,-15.7548,14.9352,-3.03825,1.92933,0.660912,-6.80427,10.8545,14.7813,15.9775,-11.9166,
1.29824,0.478686,1.30625,0.6198,0.618547,1,1,1,1.0,45,2.03717,5.85274,1.27584,14.6879,-5.73461,-9.7038,4.36522,15.3238,-8.2249,-11.25,2.21086,0.440508,11.3215,16,-11.4995,
2.96398,1.53274,3.87696,0.6233,0.622388,1,1,1,1.0,46,2.376,1.3042,5.54619,10.4754,5.85835,-4.06033,15.1278,6.99757,-15.6308,-15.2857,-5.93469,-6.49476,10.2521,15.9831,-16,
1.30663,-0.769107,-2.729,0.627269,0.625728,1,1,1,1.0,47,9.8556,4.26409,1.20435,-1.11752,-6.4608,-10.8135,14.2857,15.9442,-6.26583,-3.62447,5.35719,12.1374,11.7718,16,-12.2486,
-2.00488,2.23,1.33565,0.624907,0.62527,1,1,1,1.0,48,2.35711,1.25241,2.62749,15.9053,15.9924,5.36057,11.9978,2.39496,-15.1683,-4.51776,-8.13127,-1.3641,14.6758,15.816,-13.7917,
1.21058,1.70496,1.00473,0.622866,0.625538,1,1,1,1.0,49,1.66617,0.673586,2.70473,15.0333,12.8936,1.32049,11.0045,7.02062,-14.5252,-11.7454,-11.5331,-0.226189,15.4204,11.6251,-15.9834,
0.205528,-0.176816,2.35478,0.624049,0.624871,1,1,1,1.0,50,2.91865,3.764,3.31612,-8.36014,0.373858,5.84735,7.84824,13.2137,-15.876,-0.0250103,1.03214,-2.07209,-2.59166,15.9967,-8.94047,
3.44701,4.42137,7.07041,0.614189,0.614063,1,1,1,1.0,51,1.30652,5.19451,1.91325,7.34278,11.5208,-14.6372,6.08059,-8.04925,-9.83483,-15.5782,-6.51361,-8.00666,3.82891,16,-15.1,
-1.52424,6.19407,4.51069,0.613035,0.621649,1,1,1,1.0,52,9.58927,1.52647,2.36589,-1.9929,-5.9995,-4.66717,15.5292,14.928,-15.9468,3.1304,-15.2661,-4.55225,15.7509,13.7374,-15.8657,
