bias1,bias2,bias3,fitness,fitness_at_90,recep1,recep2,recep3,robustness,seed,timConst1,timConst2,timConst3,w_1->1,w_1->2,w_1->3,w_2->1,w_2->2,w_2->3,w_3->1,w_3->2,w_3->3,w_AS->1,w_AS->2,w_AS->3,
1.69721,1.48129,-11.5057,0.627728,0.362171,0,0,0,0.353,1,2.50784,0.890537,1.46205,-15.8665,-0.259276,9.83111,14.242,6.65172,-12.3593,1.97895,-8.93764,9.99523,2.3395,0.615261,-15.9686,
-6.93016,8.24219,-6.33,0.627652,0.431399,0,0,0,0.549,2,0.501906,1.48408,2.31048,15.9359,-3.48133,-8.19395,6.23684,3.90031,1.83314,-2.73258,-13.7063,6.55187,6.21501,-0.252086,-14.1817,
-2.28273,-0.597051,1.31829,0.627757,0.610579,0,0,0,1.0,3,2.48756,2.94462,1.59956,4.33555,12.1355,-11.03,13.8119,1.57693,-13.2072,-2.08641,0.00401992,4.1498,9.04953,15.998,-15.0656,
10.9116,4.18271,-2.84117,0.627687,0.1255,0,0,0,0.275,4,0.5,5.24084,2.46376,-6.95605,-2.04366,-8.9364,-5.09362,6.06514,-11.4188,-8.67705,-0.573205,10.8522,1.6624,15.0724,-13.3558,
7.95397,8.8302,15.9254,0.627171,0.445819,0,0,0,0.588,5,8.13584,5.42451,0.609322,-10.8073,-2.55202,-11.5996,5.69163,3.96284,-15.5033,-5.97022,-7.48755,-10.0796,1.83942,13.6105,-10.6318,
-6.23227,14.8593,5.72993,0.627716,0.544245,0,0,0,0.824,6,1.56918,2.16632,3.40818,13.8019,5.97579,-4.12319,12.3272,-7.67776,-13.6703,-1.85003,-15.8575,-4.43645,12.0018,13.8861,-12.9683,
-10.7698,15.3463,3.67275,0.627706,0.448362,0,0,0,0.412,7,1.61797,3.52157,0.818587,8.84698,-8.73222,-15.9998,15.5825,2.69714,-0.954566,5.46672,-15.7052,0.66272,4.78652,10.7193,-11.8802,
1.34655,-3.27464,5.32812,0.627611,0.579274,0,0,0,1.0,8,0.5,1.26057,3.07817,-0.841323,5.57329,-13.1614,9.67972,9.77315,-15.9957,-13.4494,1.38813,-0.33071,-9.31932,13.3492,-14.892,
-5.54696,-2.57815,8.50362,0.627542,0.413959,0,0,0,0.745,9,5.43974,5.88345,1.25134,-1.97545,-3.28968,-15.261,15.382,15.9611,-14.9963,2.71355,5.04723,1.58398,4.00484,14.0601,-12.8503,
9.14926,3.96881,-10.7712,0.627369,0.413789,0,0,0,0.392,10,8.15455,1.71309,4.98447,-1.60778,15.864,-5.93983,5.17738,-4.48204,7.31984,-10.3632,-11.6071,8.653,13.6706,5.44194,-14.1543,
